gso_code,era,name_vi,wikidata_qid,description_en,description_vi
72,pre2025,Tỉnh Tây Ninh,Q36608,a province of Vietnam,tỉnh thuộc vùng Đông Nam Bộ của Việt Nam
74,pre2025,Tỉnh Bình Dương,Q36866,former province of Vietnam,tỉnh cũ thuộc vùng Đông Nam Bộ của Việt Nam
75,pre2025,Tỉnh Đồng Nai,Q33271,municipality of Vietnam,thành phố trực thuộc trung ương của Việt Nam
77,pre2025,Tỉnh Bà Rịa - Vũng Tàu,Q36874,former province of Vietnam,tỉnh cũ thuộc vùng Đông Nam Bộ của Việt Nam
79,pre2025,Thành phố Hồ Chí Minh,Q1854,largest city in Vietnam,thành phố trực thuộc trung ương của Việt Nam
80,pre2025,Tỉnh Long An,Q26573,A former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
82,pre2025,Tỉnh Tiền Giang,Q36666,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
83,pre2025,Tỉnh Bến Tre,Q33366,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
84,pre2025,Tỉnh Trà Vinh,Q36615,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
86,pre2025,Tỉnh Vĩnh Long,Q7333405,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
87,pre2025,Tỉnh Đồng Tháp,Q36676,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
89,pre2025,Tỉnh An Giang,Q36592,province of Vietnam,"tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam"
91,pre2025,Tỉnh Kiên Giang,Q36576,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
92,pre2025,Thành phố Cần Thơ,Q216075,city of Vietnam,thành phố trực thuộc trung ương của Việt Nam
93,pre2025,Tỉnh Hậu Giang,Q36320,"former province in the Mekong Delta region, Vietnam",tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
94,pre2025,Tỉnh Sóc Trăng,Q33272,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
95,pre2025,Tỉnh Bạc Liêu,Q36658,former province of Vietnam,tỉnh cũ thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
96,pre2025,Tỉnh Cà Mau,Q33354,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long và là tỉnh cực nam của Việt Nam
01,post2025,Thành phố Hà Nội,Q1858,capital of Vietnam,thủ đô Việt Nam
04,post2025,Tỉnh Cao Bằng,Q36865,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
08,post2025,Tỉnh Tuyên Quang,Q2332060,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ và là tỉnh cực bắc của Việt Nam
11,post2025,Tỉnh Điện Biên,Q36955,province of Vietnam,tỉnh nằm ở khu vực Tây Bắc Bộ của Việt Nam
12,post2025,Tỉnh Lai Châu,Q36409,province of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
14,post2025,Tỉnh Sơn La,Q33379,province in the Northwest region of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
15,post2025,Tỉnh Lào Cai,Q36446,province of Vietnam,tỉnh thuộc vùng Tây Bắc Bộ của Việt Nam
19,post2025,Tỉnh Thái Nguyên,Q26575,province in northeastern Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
20,post2025,Tỉnh Lạng Sơn,Q33403,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
22,post2025,Tỉnh Quảng Ninh,Q33396,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Hồng của Việt Nam
24,post2025,Tỉnh Bắc Ninh,Q33408,province of Vietnam,tỉnh thuộc vùng Đồng bằng Sông Hồng của Việt Nam
25,post2025,Tỉnh Phú Thọ,Q36610,province of Vietnam,tỉnh thuộc vùng Đông Bắc Bộ của Việt Nam
