local_id,terminal_code,name_vi,loai_hinh,parent_code,valid_from,valid_to,wikidata_qid,qid_status,match_status,candidate_qids,match_notes
w-1090221-base,12016,Xã Lạc Hồng,Xã,325,,2025-06-30,,,deferred-historical,,
w-10903-2025-07-01,10903,Xã Cẩm Giàng,Xã,31,2025-07-01,,Q10788413,existing,matched,Q5202992|Q10752476|Q10752477|Q10752478|Q10788413,broad-exact-vi+current-province+ward-class+batched-wbgetentities
w-1090301-base,12103,Phường Bần Yên Nhân,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090321-base,12106,Phường Phan Đình Phùng,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090329-base,12109,Xã Cẩm Xá,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090331-base,12112,Xã Dương Quang,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090333-base,12115,Xã Hòa Phong,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090337-base,12118,Phường Nhân Hòa,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090345-base,12121,Phường Dị Sử,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090347-base,12124,Phường Bạch Sam,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090349-base,12127,Phường Minh Đức,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090357-base,12130,Phường Phùng Chí Kiên,Phường,328,,2025-06-30,,,deferred-historical,,
w-1090359-base,12133,Xã Xuân Dục,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090361-base,12136,Xã Ngọc Lâm,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090367-base,12139,Xã Hưng Long,Xã,328,,2025-06-30,,,deferred-historical,,
w-1090401-base,12052,Thị trấn Yên Mỹ,Thị trấn,327,,2025-06-30,,,deferred-historical,,
w-1090403-base,12055,Xã Nguyễn Văn Linh,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090405-base,12058,Xã Nghĩa Hiệp,Xã,327,,2024-11-30,,,deferred-historical,,
w-1090407-base,12061,Xã Đồng Than,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090409-base,12064,Xã Ngọc Long,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090411-base,12067,Xã Liêu Xá,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090413-base,12070,Xã Hoàn Long,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090415-base,12073,Xã Tân Lập,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090417-base,12076,Xã Thanh Long,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090419-base,12079,Xã Yên Phú,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090421-base,12082,Xã Việt Cường,Xã,327,,2024-11-30,,,deferred-historical,,
w-1090423-base,12085,Xã Trung Hòa,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090425-base,12088,Xã Yên Hòa,Xã,327,,2024-11-30,,,deferred-historical,,
w-1090427-base,12091,Xã Việt Yên,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090429-base,12094,Xã Trung Hưng,Xã,327,,2024-11-30,,,deferred-historical,,
w-1090431-base,12097,Xã Lý Thường Kiệt,Xã,327,,2024-11-30,,,deferred-historical,,
w-1090433-base,12100,Xã Tân Minh,Xã,327,,2025-06-30,,,deferred-historical,,
w-1090501-base,12019,Thị trấn Văn Giang,Thị trấn,326,,2025-06-30,,,deferred-historical,,
w-1090503-base,12022,Xã Xuân Quan,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090505-base,12025,Xã Cửu Cao,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090507-base,12028,Xã Phụng Công,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090509-base,12031,Xã Nghĩa Trụ,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090511-base,12034,Xã Long Hưng,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090513-base,12037,Xã Vĩnh Khúc,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090515-base,12040,Xã Liên Nghĩa,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090517-base,12043,Xã Tân Tiến,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090519-base,12046,Xã Thắng Lợi,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090521-base,12049,Xã Mễ Sở,Xã,326,,2025-06-30,,,deferred-historical,,
w-1090601-base,12205,Thị trấn Khoái Châu,Thị trấn,330,,2025-06-30,,,deferred-historical,,
w-1090603-base,12208,Xã Đông Tảo,Xã,330,,2025-06-30,,,deferred-historical,,
